text_asli,removed_noise,removed_alay,removed_stopwords
"para tenaga kerja indonesia (tki) yang terdampak kebijakan lockdown di malaysia, dan terancam kelaparan ternyata belum menerima bantuan dari pemerintah. #tki https://t.co/jkmjxa8f57","para tenaga kerja (tki) yang terdampak kebijakan di malaysia, dan terancam kelaparan ternyata belum menerima bantuan dari pemerintah. #tki","para tenaga kerja (tki) yang terdampak kebijakan di malaysia, dan terancam kelaparan ternyata belum menerima bantuan dari pemerintah. #tki","tenaga kerja ( tki ) terdampak kebijakan malaysia , terancam kelaparan menerima bantuan pemerintah . #tki"
"cara mengatasi covid-19:
-indonesia lockdown ❌
-social distancing dipertegas ❌
-larangan mudik ❌
-transparansi pemerintah pusat ❌
-ketegasan untuk memberi sanksi agar orang patuh #stayathome ❌
-membebaskan 35.000 orang narapidana ✅","cara mengatasi covid-19:
-indonesia ❌
-social distancing dipertegas ❌
-larangan mudik ❌
-transparansi pemerintah pusat ❌
-ketegasan untuk memberi sanksi agar orang patuh #stayathome ❌
-membebaskan 35.000 orang narapidana ✅","cara mengatasi covid-19:
-indonesia ❌
-social distancing dipertegas ❌
-larangan mudik ❌
-transparansi pemerintah pusat ❌
-ketegasan untuk memberi sanksi agar orang patuh #stayathome ❌
-membebaskan 35.000 orang narapidana ✅","mengatasi covid - 19 : 
 -indonesia ❌ 
 -social distancing dipertegas ❌ 
 -larangan mudik ❌ 
 -transparansi pemerintah pusat ❌ 
 -ketegasan sanksi orang patuh #stayathome ❌ 
 -membebaskan 35.000 orang narapidana ✅"
"menurut pakar epidemiologi, indonesia masih memerlukan lockdown dalam memerangi virus corona. namun, jangan hanya berkaca dari china. https://t.co/dzugb2lubx","menurut pakar epidemiologi, masih memerlukan dalam memerangi virus corona. namun, jangan hanya berkaca dari china.","menurut pakar epidemiologi, masih memerlukan dalam memerangi virus corona. namun, jangan hanya berkaca dari china.","pakar epidemiologi , memerangi virus corona . , berkaca china ."
pemerintah melakukan pengawasan ketat terhadap ratusan ribu wni pekerja migran di malaysia yang akan pulang ke tanah air imbas dari kebijakan lockdown https://t.co/bswmqpoqyz,pemerintah melakukan pengawasan ketat terhadap ratusan ribu wni pekerja migran di malaysia yang akan pulang ke tanah air imbas dari kebijakan,pemerintah melakukan pengawasan ketat terhadap ratusan ribu wni pekerja migran di malaysia yang akan pulang ke tanah air imbas dari kebijakan,pemerintah pengawasan ketat ratusan ribu wni pekerja migran malaysia pulang tanah air imbas kebijakan
"malaysia 'lockdown', indonesia siagakan kapal perang untuk jemput tki  #taucepattanpabatas #beritaterkini #berita #news #beritanasional . https://t.co/4bgrgmu86j","malaysia 'lockdown', siagakan kapal perang untuk jemput tki #taucepattanpabatas #beritaterkini #berita #news #beritanasional .","malaysia 'lockdown', siagakan kapal perang untuk jemput tki #taucepattanpabatas #beritaterkini #berita #news #beritanasional .","malaysia ' ' , siagakan kapal perang jemput tki #taucepattanpabatas #beritaterkini #berita #news #beritanasional ."
"lockdown di indonesia bukan solusi, karena akibatnya bisa jadi revolusi https://t.co/xhfkun7dhm","di bukan solusi, karena akibatnya bisa jadi revolusi","di bukan solusi, karena akibatnya bisa jadi revolusi","solusi , akibatnya revolusi"
"walikota sorong ini berani menentang kebijakan pemerintah pusat. tp yg ia lakukan adalah sesuatu yg mendasar sesuai konstitusi, melindungi segenap bangsa dan seluruh tumpah darah indonesia. 

https://t.co/w0nppkgipe","walikota sorong ini berani menentang kebijakan pemerintah pusat. tp yg ia lakukan adalah sesuatu yg mendasar sesuai konstitusi, melindungi segenap bangsa dan seluruh tumpah darah indonesia.","walikota sorong ini berani menentang kebijakan pemerintah pusat. tapi yang ia lakukan adalah sesuatu yang mendasar sesuai konstitusi, melindungi segenap bangsa dan seluruh tumpah darah indonesia.","walikota sorong berani menentang kebijakan pemerintah pusat . lakukan mendasar sesuai konstitusi , melindungi segenap bangsa tumpah darah ."
"kota di lockdown, gaya dasteran putri indonesia whulandary disorot https://t.co/ijcsz5bqqk","kota di lockdown, gaya dasteran putri whulandary disorot","kota di lockdown, gaya dasteran putri whulandary disorot","kota , gaya dasteran putri whulandary disorot"
indonesia dinilai sulit melakukan lockdown karena berbagai pertimbangan pelik. https://t.co/lv1gav6qg8,dinilai sulit melakukan karena berbagai pertimbangan pelik.,dinilai sulit melakukan karena berbagai pertimbangan pelik.,dinilai sulit pertimbangan pelik .
"#india
#covid19

istri vin rana, nita sofiani mengabarkan kondisi terkini india ketika lockdown akibat virus corona atau covid-19.

diketahui, vin rana, pemeran serial mahabharata yang juga dibintangi sheher sheikh ini menikah dengan wanita indonesia.

https://t.co/qyayumamii","#india
#covid19

istri vin rana, nita sofiani mengabarkan kondisi terkini india ketika akibat virus corona atau covid-19.

diketahui, vin rana, pemeran serial mahabharata yang juga dibintangi sheher sheikh ini menikah dengan wanita","#india
#covid19

istri vin rana, nita sofiani mengabarkan kondisi terkini india ketika akibat virus corona atau covid-19.

diketahui, vin rana, pemeran serial mahabharata yang juga dibintangi sheher sheikh ini menikah dengan wanita","#india 
 #covid19 

 istri vin rana , nita sofiani mengabarkan kondisi terkini india akibat virus corona covid - 19 . 

 , vin rana , pemeran serial mahabharata dibintangi sheher sheikh menikah wanita"
